city,baths,description,url,Single Family,price,bedrooms,MLS,state,Lot,zestimate,zestimate_rent,Price/sqft,Built in,address,zip_code
Evansville,1 bath,Great investment home or great purchase for someone able to finish a little work.,http://www.zillow.com/homedetails/505-E-Iowa-St-Evansville-IN-47711/94597927_zpid/,Single Family, $19900 ,2 beds,MLS #: 201654931,Indiana,Lot: 2613 sqft,$23805,$575/mo,Price/sqft: $14,Built in 1904,505 E Iowa St Evansville IN 47711,IN 47711
Evansville,1 bath,This 890 square foot single family home has 3 bedrooms and 1.0 bathrooms. It is located at 1003 Edgar St Evansville Indiana.,http://www.zillow.com/homedetails/1003-1005-Edgar-St-Evansville-IN-47710/2098254565_zpid/,Single Family, $16000 ,3 beds,MLS #: 201624875,Indiana,,$31784,Unavailable,Price/sqft: $18,Built in 1889,1003-1005 Edgar St Evansville IN 47710,IN 47710
Evansville,1 bath,This 728 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1658 Stevens Ave Evansville Indiana.,http://www.zillow.com/homedetails/1658-Stevens-Ave-Evansville-IN-47714/77097277_zpid/,Single Family, $14900 ,2 beds,MLS #: 201643363,Indiana,Lot: 9600 sqft,$46948,$600/mo,Price/sqft: $20,Built in 1940,1658 Stevens Ave Evansville IN 47714,IN 47714
Evansville,1 bath,This 955 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1112 Edgar St Evansville Indiana.,http://www.zillow.com/homedetails/1112-Edgar-St-Evansville-IN-47710/77072330_zpid/,Single Family, $15500 ,2 beds,MLS #: 201624864,Indiana,Lot: 4050 sqft,$29154,$575/mo,Price/sqft: $16,Built in 1904,1112 Edgar St Evansville IN 47710,IN 47710
Evansville,1 bath,This 1356 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1400 S Bedford Ave Evansville Indiana.,http://www.zillow.com/homedetails/1400-S-Bedford-Ave-Evansville-IN-47713/94596999_zpid/,Single Family, $19500 ,2 beds,MLS #: 201624861,Indiana,Lot: 3750 sqft,$32553,$560/mo,Price/sqft: $14,Built in 1924,1400 S Bedford Ave Evansville IN 47713,IN 47713
Evansville,1 bath,"Newer roof siding gutters and windows. Currently rented for $425 a month tenant pays all utilities.  Sold ""As Is""   Seller prefers to sell in package deal with all properties.  1027 Adams Evansville 47714/Rented for $425 435 S Denby Evansville 47713/ Rented for $395 800 Independence Evansville 47713/ Rented for $525 831 Jackson Evansville 47713/ Rented for $400 1620 Grand Evansville 47713/ Rented for $495 22 W Louisiana Evansville 47713/ Rented for $450  and 501 Madison Evansville 47713/ Rented for $500 all for $118300",http://www.zillow.com/homedetails/1027-Adams-Ave-Evansville-IN-47714/97347961_zpid/,Single Family, $19900 ,2 beds,MLS #: 201638608,Indiana,Lot: 3920 sqft,$38382,$600/mo,Price/sqft: $18,Built in 1925,1027 Adams Ave Evansville IN 47714,IN 47714
Evansville,1 bath,This 810 square foot single family home has 2 bedrooms and 1.0 bathrooms. It is located at 1012 Jefferson Ave Evansville Indiana.,http://www.zillow.com/homedetails/1012-Jefferson-Ave-Evansville-IN-47714/97347975_zpid/,Single Family, $15000 ,2 beds,MLS #: 201624867,Indiana,Lot: 2750 sqft,$29009,$550/mo,Price/sqft: $19,Built in 1925,1012 Jefferson Ave Evansville IN 47714,IN 47714
Evansville,1 bath,Three bedroom home on corner lot with fenced backyard with detached garage. Home has large living room and dining room. All bedrooms are upstairs. Home has enclosed front porch plus a full basement.This could be a nice home with some  work.  Must have approval letter from bank when submitting offer.,http://www.zillow.com/homedetails/1201-E-Iowa-St-Evansville-IN-47711/94597698_zpid/,Single Family, $21900 ,3 beds,MLS #: 201629093,Indiana,,$64899,$750/mo,Price/sqft: $13,Built in 1919,1201 E Iowa St Evansville IN 47711,IN 47711
Evansville,1 bath,This 944 square foot single family home has 3 bedrooms and 1.0 bathrooms. It is located at 1209 Edgar St Evansville Indiana.,http://www.zillow.com/homedetails/1209-Edgar-St-Evansville-IN-47710/94598980_zpid/,Single Family, $15500 ,3 beds,MLS #: 201624865,Indiana,Lot: 4050 sqft,$30417,$550/mo,Price/sqft: $16,Built in 1904,1209 Edgar St Evansville IN 47710,IN 47710
Evansville,2 baths,Great investment opportunity or perfect for a handy man that prefers to live in the home while remodeling this 2-story 3-bedroom 2-bath home with a partial basement.  New furnace in November 2016. Home has original wood work. Home being sold AS-IS.  Majority of the roof was replaced in 2013 fenced yard one bathroom in working order.  4 bedroom potential with wall construction.  To inquire about the property send an email to eickhoffpropertiesllc@gmail.com or call (812) 431-8278.,http://www.zillow.com/homedetails/621-E-Iowa-St-Evansville-IN-47711/77071152_zpid/,Single Family, $20000 ,3 beds,,Indiana,Lot: 2613 sqft,$64166,$750/mo,Price/sqft: $11,Built in 1909,621 E Iowa St Evansville IN 47711,IN 47711
